device,frames,warmup_frames,mean_latency_ms,median_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,fps_from_mean,meets_30hz_mean,meets_30hz_p95,meets_60hz_mean,meets_60hz_p95,gpu_speedup_vs_cpu_mean,gpu_speedup_vs_cpu_p95
cpu,100,5,9.39764756001523,9.328330500011361,9.866787999953885,9.199504999969577,10.0686380001207,106.4096087466361,True,True,True,True,2.9204149740378056,3.038390723790307
gpu,100,5,3.2179151399918737,3.210565500012308,3.2473730000219803,3.132201999960671,3.8552910000362317,310.7602147651803,True,True,True,True,2.9204149740378056,3.038390723790307
