frame,gt_count,pred_count,tp,fp,fn,id_switches,mean_risk_score,max_risk_score,medium_or_high_risk_detections
101,10,11,8,3,2,0,0.3547106309269235,0.4214497775180811,0
102,10,11,8,3,2,0,0.36268094364304443,0.4499020834883234,0
103,9,11,7,4,2,1,0.35303414830376173,0.3959413468882627,0
104,9,11,6,5,3,0,0.34891925484139247,0.4580533823751752,1
105,11,11,7,4,4,1,0.3627303324003421,0.4952283470258465,1
106,11,12,8,4,3,0,0.3534149749334943,0.4636398614724756,1
107,11,9,7,2,4,1,0.3351659172971568,0.3885807102720284,0
108,10,9,7,2,3,0,0.3469579900234707,0.5387332033385055,1
109,12,9,8,1,4,0,0.3339923517902492,0.4361577114380482,0
110,13,9,9,0,4,0,0.33806861086816836,0.3869286678387676,0
111,12,9,9,0,3,0,0.34814985011079913,0.4414013461357434,0
112,12,9,9,0,3,0,0.37639269429859634,0.5078082080887377,1
113,11,9,8,1,3,0,0.35841872577247497,0.4615822636253586,2
114,10,7,7,0,3,0,0.34150224648083316,0.4098166674170361,0
115,10,8,8,0,2,0,0.3423242051701808,0.4229181390991245,0
116,10,8,7,1,3,0,0.34845662944965367,0.4095211381685664,0
117,10,7,7,0,3,0,0.35599269921851356,0.503506811352469,1
118,9,7,7,0,2,0,0.3536514337774351,0.4288975676810481,0
119,10,6,6,0,4,0,0.35560803616403575,0.4089945941646554,0
120,10,6,6,0,4,0,0.33859169888493806,0.4280150896991559,0
121,9,7,7,0,2,0,0.3334323384312151,0.4882919658582717,1
122,9,6,6,0,3,0,0.3311379727017287,0.4191220836606236,0
123,8,6,6,0,2,0,0.3258007842297164,0.4004233631376551,0
124,8,6,6,0,2,0,0.3185618547262845,0.4188805024911454,0
125,7,5,5,0,2,0,0.3184345554407,0.3522475497619629,0
126,7,5,5,0,2,0,0.3518819262457842,0.4856286323613638,1
127,7,5,5,0,2,0,0.3432258648932133,0.4508259589687728,1
128,7,5,5,0,2,0,0.33152828850315186,0.3877818296869565,0
129,7,5,5,0,2,0,0.3239430304233418,0.3896925169320802,0
130,7,6,6,0,1,1,0.34081767931671775,0.3984541216385538,0
131,7,5,4,1,3,0,0.3368911721022439,0.3622885261274458,0
132,6,5,5,0,1,0,0.35884350798305154,0.5081836307644703,1
133,6,4,4,0,2,0,0.35857356026760495,0.4145411278453627,0
134,6,5,5,0,1,0,0.3467032621346127,0.4328206328881629,0
135,6,5,4,1,2,0,0.36774529433426917,0.4918086787788145,1
136,6,4,4,0,2,0,0.3583608869656282,0.5069681549476813,1
137,6,5,4,1,2,1,0.34247870039723843,0.5186652959777817,1
138,5,4,4,0,1,0,0.30620242584371216,0.3285689464669302,0
139,5,4,4,0,1,0,0.3204906182477046,0.3682379438985694,0
140,5,4,4,0,1,0,0.34423048979154436,0.4645287557817724,1
141,5,5,5,0,0,0,0.35318024073459353,0.4652159930615833,1
142,5,5,5,0,0,0,0.34442411495885494,0.412850939664838,0
143,5,5,5,0,0,0,0.34207939268555315,0.3974734229735173,0
144,5,5,5,0,0,0,0.33097765985125105,0.4014509291367231,0
145,5,5,5,0,0,0,0.3737267843272864,0.5668660912207765,1
146,5,4,4,0,1,0,0.3650869746250845,0.4592365882171763,1
147,4,4,4,0,0,0,0.37292125345385035,0.4504796630641872,1
148,4,4,4,0,0,0,0.3686941535060089,0.4102240316443842,0
149,3,3,3,0,0,0,0.3512104371340505,0.3795696306627327,0
150,3,4,3,1,0,0,0.36198073897528116,0.44019962831768,0
151,3,4,2,2,1,0,0.3956955778403378,0.5603492368872005,1
152,3,3,2,1,1,0,0.38544137636120895,0.4621220397657991,1
153,2,3,2,1,0,0,0.3994944975700124,0.4901033303516132,1
154,2,4,2,2,0,0,0.36109114766330164,0.4350248467270898,0
155,4,3,2,1,2,0,0.3237518258344154,0.3768131921457657,0
156,4,3,2,1,2,0,0.3068071481257002,0.3917948003889321,0
157,4,3,2,1,2,0,0.3342516233321644,0.4246665301498361,0
158,5,2,1,1,4,0,0.3236002679801328,0.3381708979487884,0
159,5,3,2,1,3,0,0.38085084047792644,0.4866355282762671,1
160,5,3,2,1,3,0,0.3740566934536213,0.4865183622282382,1
161,4,4,3,1,1,0,0.35700092850731496,0.5080389301441545,1
162,4,4,3,1,1,0,0.3785184074756008,0.4496320763930738,0
163,4,3,1,2,3,0,0.3214632287851238,0.3720428596958713,0
164,4,3,1,2,3,0,0.30827515810373163,0.3661045388428791,0
165,4,5,2,3,2,0,0.3404412966126026,0.4612041072968988,1
166,4,4,2,2,2,0,0.35086310181907765,0.5051720806434514,1
167,4,5,2,3,2,0,0.3590468517139912,0.6372592627313226,1
168,4,4,2,2,2,0,0.2916195697322483,0.3439516501351332,0
169,3,4,2,2,1,0,0.29320241391161095,0.3403214954284689,0
170,3,4,2,2,1,0,0.3273956353874821,0.4288341941373085,0
171,3,4,3,1,0,0,0.33526889715400876,0.473048787568978,1
172,3,3,3,0,0,0,0.3366853546268767,0.4134018117504454,0
173,3,4,3,1,0,0,0.361341640154801,0.4620084626905037,1
174,3,5,3,2,0,0,0.39766557159944027,0.4900389756197836,2
175,3,4,3,1,0,0,0.35730918022884556,0.4847577252075152,1
176,2,4,2,2,0,0,0.3638354437343284,0.4485577619010435,0
177,2,4,2,2,0,0,0.34851307858943403,0.4184037877641953,0
178,2,4,2,2,0,0,0.3534907699802417,0.4092053747051222,0
179,2,4,2,2,0,0,0.3596377168620405,0.4375085279192146,0
180,2,4,1,3,1,0,0.3420972572616382,0.4076391481096204,0
181,2,5,2,3,0,0,0.35848620187851904,0.4233261710688376,0
182,2,5,2,3,0,0,0.38061924968549155,0.4455289057847121,0
183,2,4,2,2,0,0,0.36999860871931484,0.4224577406090374,0
184,2,4,2,2,0,0,0.39646451280435097,0.5741681645220698,1
185,2,3,2,1,0,0,0.3419212322956456,0.42430702234244,0
