sequence,stage,source_csv,frames_with_latency,warmup_frames_excluded,frames_used,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,fps_from_mean,device,note
0000,detector,results/detections/yolov8n_seq0000_detections.csv,154,5,149,11.149698530122908,10.895979999986594,13.029820198789823,13.658859000133816,14.341944919287927,14.427050999074709,89.68852362225945,cpu,computed from saved per-frame latency values; first 5 warmup frames excluded
0000,tracker,results/tracks/yolov8n_bytetrack_seq0000_tracks.csv,154,5,149,12.940724214761898,12.255452998942928,15.816919200369739,16.106623200539616,16.727066920502697,16.87647799917613,77.27542782028134,cpu,computed from saved per-frame latency values; first 5 warmup frames excluded
0001,detector,results/detections/yolov8n_seq0001_detections.csv,447,5,442,12.578055572320578,11.933585999940988,14.89365240013285,15.426395552640315,16.059073649339553,16.806280000309926,79.50354442705851,cpu,computed from saved per-frame latency values; first 5 warmup frames excluded
0001,tracker,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv,447,5,442,13.307839656117393,12.904801002150634,15.521617798731313,16.17469409793557,17.65819394917343,19.05978200011305,75.14367664779584,cpu,computed from saved per-frame latency values; first 5 warmup frames excluded
