risk_level,track_count,mean_frames,median_frames,mean_confidence,mean_area,mean_border_risk,mean_motion_jump_risk,mean_short_track_risk,mean_risk_score
low,130,18.915384615384614,17.0,0.6272729732394777,9742.877208438993,0.15615094816574956,0.17205987689271476,0.1603574217208376,0.3663072094619166
medium,24,2.25,2.0,0.5611745462028517,9162.097940363017,0.7999999999999999,0.06802867715718532,0.5831530313274735,0.5178800529546002
high,1,1.0,1.0,0.358816534280777,5491.702662896365,1.0,0.0,1.0,0.6506842080727326
