sequence,track_id,class_name,frames,first_frame,last_frame,mean_confidence,min_confidence,mean_area,max_center_jump_per_frame_px,mean_low_confidence_risk,mean_small_box_risk,mean_border_risk,mean_motion_jump_risk,mean_short_track_risk,mean_risk_score,max_risk_score,risk_rank,risk_level,id_switch_events,pred_detections,unmatched_detections,gap_count,has_id_switch,is_short_track,is_fragmented,unmatched_detection_rate
1,1335,car,2,407,408,0.6016272008419037,0.5328497886657715,2800.090180843837,11.500519479890285,0.3983727991580963,0.976489122897734,0.0,0.0872157219358373,0.5,0.3916949548530302,0.3960572403887407,57,low,0,2,2,0,False,True,True,1.0
1,339,car,9,100,108,0.7531845768292745,0.584743320941925,9276.376140026588,41.352409858082446,0.2468154231707255,0.9174256142736532,0.1111111111111111,0.4511562691177659,0.1111111111111111,0.3913113792601868,0.5387332033385055,58,low,1,9,7,0,True,False,False,0.7777777777777778
1,1299,car,7,390,403,0.3547817042895725,0.2562345862388611,1180.9597221169893,1.9720814009540115,0.6452182957104274,0.9912555378484093,0.0,0.0137477006485766,0.1428571428571428,0.3844211780880043,0.4073507585156917,61,low,0,7,7,7,False,False,True,1.0
1,232,car,12,75,86,0.6423060745000839,0.3062388002872467,18095.050674738963,45.39046270697844,0.3576939254999161,0.8369996011672654,0.1666666666666666,0.3556517625444908,0.0833333333333333,0.3832363422445548,0.4639155924205874,62,low,0,12,0,0,False,False,False,0.0
1,252,car,12,80,106,0.6358417173226675,0.3182418048381805,10311.255931251371,41.7611485823512,0.3641582826773326,0.907987545624565,0.1666666666666666,0.2843817099355736,0.0833333333333333,0.3812325072781395,0.4952283470258465,63,low,1,12,6,15,True,False,True,0.5
1,1221,car,7,365,371,0.3799743396895271,0.310892105102539,768.3558035499548,3.698449553501303,0.6200256603104728,0.9950184716126388,0.0,0.0210744231587063,0.1428571428571428,0.3807072866183939,0.4067847792658381,64,low,0,7,7,0,False,False,False,1.0
1,1134,car,5,338,342,0.4175269067287445,0.3125713169574737,1003.7505708958956,2.873687263044731,0.5824730932712555,0.9928716793062417,0.0,0.0243180716187346,0.2,0.3802721270837458,0.4114088112281038,65,low,0,5,1,0,False,False,False,0.2
1,171,car,5,50,54,0.4294792830944061,0.3218533098697662,967.029259541258,2.544596116745681,0.5705207169055939,0.9932065764222048,0.0,0.0244632407859783,0.2,0.377387304707334,0.4078588650804909,66,low,1,5,0,0,True,False,False,0.0
1,1,car,5,0,4,0.8517598986625672,0.8106634020805359,61189.92652912289,40.38675952720087,0.1482401013374328,0.4439757928114812,1.0,0.2850698559470666,0.2,0.3771226478834211,0.5175442844376545,67,low,0,5,0,0,False,False,False,0.0
1,628,car,34,210,243,0.8327515177866992,0.4788001775741577,15912.941704039244,56.63733013832898,0.1672484822133008,0.8569003610814973,0.2352941176470588,0.4894705634638192,0.0294117647058823,0.3752657159885206,0.5173265262205315,68,low,0,34,8,0,False,False,False,0.23529411764705882
1,897,car,18,269,286,0.7687007006671693,0.4414007365703583,11847.09151671669,54.77840312585445,0.2312992993328306,0.8939807770971994,0.2777777777777778,0.3530169307803103,0.0555555555555555,0.3748752129477251,0.5572666071823935,69,low,1,18,14,0,True,False,False,0.7777777777777778
1,1208,car,33,363,395,0.7518673214045438,0.3881610035896301,10620.325873371094,44.12039309085049,0.2481326785954562,0.9051688382192892,0.1212121212121212,0.4357376943947587,0.0303030303030303,0.3747286336186842,0.4952214337628784,70,low,0,33,0,0,False,False,False,0.0
1,1125,car,7,333,343,0.4450531601905823,0.2878456711769104,977.1031126873568,9.468349472342853,0.5549468398094177,0.9931147032226698,0.0,0.0771711541116483,0.111111111111111,0.3733191057914671,0.4044562218508078,71,low,0,7,4,4,False,False,True,0.5714285714285714
