device,frame_index,image_name,latency_ms,detection_count
gpu,0,000000.png,3.266370999881474,12
gpu,1,000001.png,3.229562999877089,6
gpu,2,000002.png,3.260433999912493,7
gpu,3,000003.png,3.209378000065044,8
gpu,4,000004.png,3.132201999960671,11
gpu,5,000005.png,3.170196999917607,8
gpu,6,000006.png,3.8552910000362317,9
gpu,7,000007.png,3.1511990000581136,6
gpu,8,000008.png,3.1903809999676014,10
gpu,9,000009.png,3.1452610000997083,10
gpu,10,000010.png,3.1880060000730737,10
gpu,11,000011.png,3.1975049998891336,8
gpu,12,000012.png,3.1880059998457,8
gpu,13,000013.png,3.1998789997942367,6
gpu,14,000014.png,3.1891930000256252,6
gpu,15,000015.png,3.1808819999241678,10
gpu,16,000016.png,3.182069000104093,8
gpu,17,000017.png,3.1666339998537296,9
gpu,18,000018.png,3.2058160002179648,5
gpu,19,000019.png,3.1868189998931484,6
gpu,20,000020.png,3.2153150000340247,7
gpu,21,000021.png,3.217688999939128,9
gpu,22,000022.png,3.1963169999471575,5
gpu,23,000023.png,3.2153150000340247,6
gpu,24,000024.png,3.208190999885119,6
gpu,25,000025.png,3.2010669999635866,7
gpu,26,000026.png,3.239061999920523,8
gpu,27,000027.png,3.21056600000702,5
gpu,28,000028.png,3.22600100003001,5
gpu,29,000029.png,3.229562999877089,7
gpu,30,000030.png,3.202253999916138,5
gpu,31,000031.png,3.1951300002219796,5
gpu,32,000032.png,3.1975049998891336,5
gpu,33,000033.png,3.1963169999471575,8
gpu,34,000034.png,3.1939430000420543,6
gpu,35,000035.png,3.54777000006834,5
gpu,36,000036.png,3.1571350000376697,7
gpu,37,000037.png,3.177319999849715,6
gpu,38,000038.png,3.1737580000026355,7
gpu,39,000039.png,3.1868189998931484,5
gpu,40,000040.png,3.17850700002964,7
gpu,41,000041.png,3.198692000069059,5
gpu,42,000042.png,3.205815999990591,7
gpu,43,000043.png,3.2473730000219803,8
gpu,44,000044.png,3.199880000011035,5
gpu,45,000045.png,3.223626000135482,7
gpu,46,000046.png,3.22600100003001,10
gpu,47,000047.png,3.218876999881104,7
gpu,48,000048.png,3.2248140000774583,8
gpu,49,000049.png,3.2188770001084777,7
gpu,50,000050.png,3.217688999939128,8
gpu,51,000051.png,3.216502999976001,7
gpu,52,000052.png,3.235499000084019,8
gpu,53,000053.png,3.229563000104463,7
gpu,54,000054.png,3.214126999864675,6
gpu,55,000055.png,3.2153150000340247,5
gpu,56,000056.png,3.217690000155926,4
gpu,57,000057.png,3.226000999802636,5
gpu,58,000058.png,3.221251000013581,6
gpu,59,000059.png,3.230751000046439,6
gpu,60,000060.png,3.229563000104463,3
gpu,61,000061.png,3.209378000065044,4
gpu,62,000062.png,3.2129399999121233,6
gpu,63,000063.png,3.195129999994606,4
gpu,64,000064.png,3.204628999810666,6
gpu,65,000065.png,3.2034419998581143,9
gpu,66,000066.png,3.1891929997982515,6
gpu,67,000067.png,3.1915680001475266,4
gpu,68,000068.png,3.2010669999635866,6
gpu,69,000069.png,3.190379999978177,7
gpu,70,000070.png,3.2010670001909602,7
gpu,71,000071.png,3.218876999881104,5
gpu,72,000072.png,3.2165019999865763,7
gpu,73,000073.png,3.229563000104463,8
gpu,74,000074.png,3.2378739999785466,8
gpu,75,000075.png,3.2070039999325672,8
gpu,76,000076.png,3.221251000013581,8
gpu,77,000077.png,3.2105650000175956,8
gpu,78,000078.png,3.2390620001478965,6
gpu,79,000079.png,3.2200639998336555,7
gpu,80,000080.png,3.2212520000030054,6
gpu,81,000081.png,3.198692000069059,6
gpu,82,000082.png,3.217690000155926,5
gpu,83,000083.png,3.21056600000702,5
gpu,84,000084.png,3.2473730000219803,5
gpu,85,000085.png,3.2105650000175956,9
gpu,86,000086.png,3.2248139998500847,9
gpu,87,000087.png,3.2307500000570144,11
gpu,88,000088.png,3.229563000104463,8
gpu,89,000089.png,3.217688999939128,8
gpu,90,000090.png,3.2260000000405853,10
gpu,91,000091.png,3.2378739999785466,11
gpu,92,000092.png,3.205815999990591,10
gpu,93,000093.png,3.214126999864675,8
gpu,94,000094.png,3.203442000085488,10
gpu,95,000095.png,3.2153150000340247,9
gpu,96,000096.png,3.2165019999865763,9
gpu,97,000097.png,3.1939430000420543,8
gpu,98,000098.png,3.1963169999471575,9
