risk_bucket,frame_count,mean_max_risk_score,mean_risk_score,total_fn,total_fp,total_id_switches,mean_fn_per_frame,mean_fp_per_frame,frames_with_fn,frames_with_fp,fn_frame_rate,fp_frame_rate
low,143,0.3601330853506409,0.3254113626271623,275,131,13,1.9230769230769231,0.916083916083916,105,77,0.7342657342657343,0.5384615384615384
medium,142,0.42011797041388765,0.3517166003519509,305,196,19,2.147887323943662,1.380281690140845,105,99,0.7394366197183099,0.6971830985915493
high,142,0.49796625513008763,0.366407028662777,342,214,17,2.408450704225352,1.5070422535211268,121,112,0.852112676056338,0.7887323943661971
