sequence,HOTA,MOTA,IDF1,CLR_Re,CLR_Pr,IDSW,Dets,GT_Dets,IDs,GT_IDs
0000,43.48900607200717,25.581395348837212,51.08433734939759,60.93023255813953,65.5,7,200,215,24,9
0001,50.00926839483538,54.84154929577465,70.17718991764413,66.37323943661971,86.9164265129683,35,1735,2272,111,86
0002,25.91755093916097,22.7,35.01577287066246,25.2,94.02985074626866,9,268,1000,23,15
0003,56.24117162306664,59.2814371257485,73.07692307692307,65.86826347305389,92.43697478991596,4,238,334,14,8
0004,36.8225242857489,56.640625,42.248995983935735,61.588541666666664,99.16142557651992,34,477,768,38,26
0005,54.57207400273393,62.7906976744186,73.28170377541142,68.52159468438538,95.70765661252901,32,862,1204,45,33
COMBINED,46.634,50.354,61.903,58.847,90.185,121,3780,5793,255,177
