sequence,confidence_threshold,class_name,iou_threshold,total_gt,total_pred,tp,fp,fn,id_switches,precision,recall,mota_like,idf1_like,idtp_like,idfp_like,idfn_like,frames_processed,track_rows_written,unique_track_ids,mean_latency_ms,p95_latency_ms,fps_estimate,tracks_csv,evaluator
0000,0.25,Car,0.5,243,506,149,357,94,11,0.29446640316205536,0.6131687242798354,-0.9012345679012346,0.3097463284379172,116,390,127,154,807,58,12.341199837559449,15.745908000099007,81.02939853194667,results/tracks/sweeps/yolov8n_bytetrack_seq0000_conf_0_25_tracks.csv,local_kitti_style_not_official_trackeval
0000,0.35,Car,0.5,243,470,150,320,93,8,0.3191489361702128,0.6172839506172839,-0.7325102880658436,0.3590462833099579,128,342,115,154,753,38,11.738802415540656,12.284943000850035,85.1875655285014,results/tracks/sweeps/yolov8n_bytetrack_seq0000_conf_0_35_tracks.csv,local_kitti_style_not_official_trackeval
0000,0.5,Car,0.5,243,376,145,231,98,3,0.38563829787234044,0.5967078189300411,-0.3662551440329218,0.4297253634894992,133,243,110,154,619,27,10.904697246741154,11.997616998996818,91.70360051021571,results/tracks/sweeps/yolov8n_bytetrack_seq0000_conf_0_5_tracks.csv,local_kitti_style_not_official_trackeval
0000,0.65,Car,0.5,243,229,108,121,135,2,0.47161572052401746,0.4444444444444444,-0.06172839506172845,0.4406779661016949,104,125,139,154,411,29,10.672882188361667,11.148702000355115,93.69540320518654,results/tracks/sweeps/yolov8n_bytetrack_seq0000_conf_0_65_tracks.csv,local_kitti_style_not_official_trackeval
