seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
0000,0.6239234379697365,0.6615071766091328,0.4127298318716238,0.6239234379697365,0.6239234379697365,0.6239234379697365,0.6239234379697365,0.6239234379697365,0.6239234379697365,0.617113691932316,0.5749258975749326,0.5427295858483562,0.5127349019400198,0.49727846899043804,0.45819000693913386,0.40316197085481587,0.3078084047277589,0.24833116353611054,0.2124617820919477,0.10028568035535446,0.04434897107176127,0.0,0.43489006072007175,0.6403162055335968,0.6403162055335968,0.6403162055335968,0.6403162055335968,0.6403162055335968,0.6403162055335968,0.6274509803921569,0.5427509293680297,0.49280575539568344,0.45104895104895104,0.43103448275862066,0.3651315789473684,0.31329113924050633,0.22418879056047197,0.12771739130434784,0.09788359788359788,0.047979797979797977,0.019656019656019656,0.0,0.39909666567037533,0.607950342477394,0.607950342477394,0.607950342477394,0.607950342477394,0.607950342477394,0.607950342477394,0.606946710852719,0.6090082389858218,0.5977109644724501,0.5828570913557234,0.5737032316738199,0.574965559166672,0.5188131880702874,0.4226170888570422,0.48285019098334125,0.4611600904103083,0.20961358963143084,0.10006253908692933,0.0,0.4941058178111004,0.7534883720930232,0.7534883720930232,0.7534883720930232,0.7534883720930232,0.7534883720930232,0.7534883720930232,0.7441860465116279,0.6790697674418604,0.6372093023255814,0.6,0.5813953488372093,0.5162790697674419,0.4604651162790698,0.35348837209302325,0.2186046511627907,0.17209302325581396,0.08837209302325581,0.037209302325581395,0.0,0.5057527539779683,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.73,0.685,0.645,0.625,0.555,0.495,0.38,0.235,0.185,0.095,0.04,0.0,0.5436842105263158,0.6265708580645475,0.6265708580645475,0.6265708580645475,0.6265708580645475,0.6265708580645475,0.6265708580645475,0.6267641049014655,0.6336447527148606,0.6299317137561745,0.6254661021682518,0.6213199379520782,0.6143072088689768,0.57937474018659,0.4916662226310545,0.5535499295542091,0.5011091956063493,0.27343683980056693,0.13574660633484165,0.0,0.5287232896243528,0.9085390946502058,0.9085390946502058,0.9085390946502058,0.9085390946502058,0.9085390946502058,0.9085390946502058,0.9070833333333332,0.9073841876565031,0.8978830995548678,0.8991468105121518,0.896946850998464,0.8995654640815932,0.8315198839392387,0.7276583596086992,0.7380788966238521,0.7268235977913398,0.5028147618622106,0.32748538011695905,0.0,0.7744013259989709,0.6615071766091328,0.6615071766091328,0.6615071766091328,0.6615071766091328,0.6615071766091328,0.6615071766091328,0.6656272307229204,0.6931362709016735,0.7106198691556223,0.7252867025096685,0.7319784089705229,0.7526244959616809,0.7677826293067105,0.7955960672830653,0.8414414657426953,0.8607376098099409,0.8939651982966894,0.9269634549575014,1.0,0.7544632875407099,0.6768186713342708,0.6768186713342708,0.6768186713342708,0.6768186713342708,0.6768186713342708,0.6768186713342708,0.6720723719903394,0.6430855955611811,0.6171442186910935,0.5913664302388444,0.5775364841358811,0.5448327119721121,0.48876924511664993,0.38651031908445654,0.32488966983239126,0.2817133901035491,0.13610287154151957,0.06101849939445298,0.0,0.4939975702983208,162.0,162.0,162.0,162.0,162.0,162.0,160.0,146.0,137.0,129.0,125.0,111.0,99.0,76.0,47.0,37.0,19.0,8.0,0.0,108.73684210526316,53.0,53.0,53.0,53.0,53.0,53.0,55.0,69.0,78.0,86.0,90.0,104.0,116.0,139.0,168.0,178.0,196.0,207.0,215.0,106.26315789473684,38.0,38.0,38.0,38.0,38.0,38.0,40.0,54.0,63.0,71.0,75.0,89.0,101.0,124.0,153.0,163.0,181.0,192.0,200.0,91.26315789473684,0.2558139534883721,0.7212726848947846,0.28837209302325584,0.6093023255813953,0.655,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.08598475219170595,0.6313253012048192,0.44805194805194803,0.28444140446504995,94.48672172121678,131,84,69,7,5,3,1,5.0,154,0.5108433734939759,0.4930232558139535,0.53,106,109,94,200,215,24,9
0001,0.71549631667815,0.6786773859363019,0.48559116985017925,0.71549631667815,0.71549631667815,0.714871540623293,0.7131332224564517,0.7127858188627553,0.7126242046201481,0.7121822123048868,0.702651059853658,0.6733404496271442,0.6364378359732419,0.5878079708242042,0.5240914219228364,0.45564361676518755,0.36699374642841387,0.2653119595844765,0.17770310225940722,0.08062878357547311,0.029321998008522622,0.005239417972320787,0.5000926839483538,0.7256675279931094,0.7256675279931094,0.7234408602150537,0.7167952013710368,0.7153253424657534,0.7145913564398801,0.7131252672082087,0.7014861995753715,0.6544178364987614,0.5945085555113411,0.5201062215477997,0.43209435310936384,0.34598589183742023,0.25532581453634084,0.16652110625909752,0.09901261656609983,0.041590850012997144,0.011868686868686869,0.0009992505620784412,0.4662384456090269,0.705467668638551,0.705467668638551,0.70640372654816,0.7094899519393911,0.7102553109897298,0.7106624680440332,0.7112404045212386,0.7038178544529173,0.6928102136240335,0.6813242892861551,0.6643223946374465,0.6356755568698225,0.6000565641457373,0.5275001674317312,0.4227117959991889,0.31893301730427376,0.15630843656306423,0.0724410018331648,0.027472089314194578,0.5506505568832307,0.741637323943662,0.741637323943662,0.7403169014084507,0.7363556338028169,0.735475352112676,0.7350352112676056,0.7341549295774648,0.727112676056338,0.6976232394366197,0.6575704225352113,0.6034330985915493,0.5321302816901409,0.4533450704225352,0.3587147887323944,0.2517605633802817,0.15889084507042253,0.07042253521126761,0.02068661971830986,0.0017605633802816902,0.5104243884358786,0.9711815561959655,0.9711815561959655,0.9694524495677234,0.9642651296829972,0.9631123919308358,0.962536023054755,0.9613832853025936,0.9521613832853026,0.9135446685878963,0.8610951008645533,0.7902017291066282,0.6968299711815562,0.5936599423631124,0.4697406340057637,0.32968299711815563,0.2080691642651297,0.09221902017291066,0.027089337175792507,0.0023054755043227667,0.6684058850295768,0.7222822362454125,0.7222822362454125,0.7231798009609852,0.7261088102918324,0.7268684515112976,0.7272815242145757,0.727868078514479,0.723656646256388,0.7169558296291128,0.7101910542887134,0.6959193928423612,0.6755595497896318,0.6560083714777105,0.6005633549855501,0.5165658832224139,0.4209083536333233,0.23544626667677854,0.1124851796376525,0.042732007575757576,0.5885717383157573,0.9481985842590163,0.9481985842590163,0.9491678530096056,0.9522215014682301,0.9530732309687794,0.9535583903029778,0.9538452879960443,0.947077012301353,0.9329791358508011,0.9265141372800366,0.9066905814713584,0.8705100386779644,0.8290744784716649,0.7536712869715866,0.6496277373144138,0.5178076903303169,0.3056406642695567,0.16524822641101164,0.07352941176470588,0.7650859912304442,0.6786773859363019,0.6786773859363019,0.6796383151732409,0.6823487623121868,0.6828845187668551,0.6831229949308513,0.6835449700036779,0.68639981357688,0.6974946860104071,0.7110796207779861,0.7274720021510048,0.7476297626263686,0.7689566090357002,0.7943091968591797,0.8235458977111937,0.852648955575166,0.8861608392869217,0.9221951347697277,0.9577420855312866,0.7549752072090126,0.7233264504342898,0.7233264504342898,0.7231615434890853,0.7227979823139108,0.7227553354628866,0.7227461084908752,0.7226068426841372,0.715370452008951,0.6952125614106629,0.6693419909055456,0.6331462082803879,0.5816031405870121,0.5215675271047401,0.43499667943166664,0.32622409461633345,0.22511227563226255,0.10491728350315109,0.03871123166389914,0.006954592326398356,0.5270462500410782,1685.0,1685.0,1682.0,1673.0,1671.0,1670.0,1668.0,1652.0,1585.0,1494.0,1371.0,1209.0,1030.0,815.0,572.0,361.0,160.0,47.0,4.0,1159.6842105263158,587.0,587.0,590.0,599.0,601.0,602.0,604.0,620.0,687.0,778.0,901.0,1063.0,1242.0,1457.0,1700.0,1911.0,2112.0,2225.0,2268.0,1112.3157894736842,50.0,50.0,53.0,62.0,64.0,65.0,67.0,83.0,150.0,241.0,364.0,526.0,705.0,920.0,1163.0,1374.0,1575.0,1688.0,1731.0,575.3157894736842,0.5484154929577465,0.7088466564235376,0.5638204225352113,0.6637323943661971,0.869164265129683,0.3488372093023256,0.46511627906976744,0.18604651162790697,0.355167587098017,0.7526828050910906,0.5078299776286354,0.5631408151213247,1068.9407578866947,1508,764,227,35,30,40,16,56.0,447,0.7017718991764412,0.6188380281690141,0.8103746397694525,1406,866,329,1735,2272,111,86
COMBINED,0.7070246633720961,0.6771713903158355,0.47877687428326793,0.7070246633720961,0.7070246633720961,0.706464394615416,0.7049070496302711,0.7045963372819052,0.7044519974041306,0.7034063141200618,0.6906447749757297,0.6610851322795303,0.6249221610631062,0.5794672250172235,0.5180036958596722,0.4508724769728904,0.36173201745568767,0.2637165877922152,0.1812520943815543,0.08266137639240208,0.031031526988595258,0.004987271196052388,0.49411851369319126,0.7172815533980582,0.7172815533980582,0.7152831652443755,0.7093158098183224,0.7079953650057937,0.7073359073359073,0.7047031611410949,0.6852134146341463,0.6377777777777778,0.579849946409432,0.5112781954887218,0.425531914893617,0.34284846644397204,0.2523364485981308,0.16276623718117275,0.0989065606361829,0.04218713174640584,0.012594458438287154,0.0009053870529651426,0.45954697129696964,0.6969144434960999,0.6969144434960999,0.697754351157995,0.7005256921394764,0.7012136280115528,0.7015798455867212,0.7021118536530968,0.6961191871235536,0.6852442454859574,0.6734978761419618,0.6567506062882129,0.6305703979720576,0.5929324771382355,0.518553911571264,0.4272780392370809,0.3321551321407644,0.16196652543624282,0.07645867997916692,0.027472089314194578,0.5461059697563018,0.7426618415761962,0.7426618415761962,0.7414555689585847,0.7378367511057499,0.7370325693606755,0.7366304784881383,0.7350221149979895,0.7229593888218737,0.6924004825090471,0.6525934861278649,0.6015279453156414,0.5307599517490953,0.4539605950944914,0.35826296743063935,0.2488942501005227,0.160032167269803,0.07197426618415761,0.022114997989545637,0.0016083634901487736,0.5100205277971769,0.9545219638242894,0.9545219638242894,0.9529715762273901,0.9483204134366925,0.9472868217054263,0.9467700258397933,0.944702842377261,0.9291989664082687,0.889922480620155,0.8387596899224806,0.7731266149870801,0.6821705426356589,0.5834625322997417,0.4604651162790698,0.31989664082687336,0.20568475452196383,0.09250645994832041,0.028423772609819122,0.0020671834625322996,0.655514755881953,0.7138874104385364,0.7138874104385364,0.7146924643290855,0.7173212635556906,0.7180041797500464,0.7183758867056758,0.7190187153973663,0.7163475603514587,0.710032308215296,0.7034569083715604,0.6896861496195767,0.6704087847576676,0.6492885047834493,0.5912747106994204,0.51937404182919,0.4283642108016699,0.23947878561170577,0.11586865988451639,0.042732007575757576,0.5837631559534845,0.9447200583702089,0.9447200583702089,0.945598515236166,0.9483650710025517,0.9491373171206567,0.9495774263860843,0.9497523379161571,0.9438539019575555,0.930186942486955,0.9243389153742712,0.9058764328690109,0.8729533358141787,0.8292889117234716,0.751452451416503,0.6563437381020447,0.5372388174058391,0.3265697584274362,0.18884635785914944,0.07352941176470588,0.7669657768212187,0.6771713903158355,0.6771713903158355,0.6780454494208626,0.6805087967078846,0.6809951955646996,0.6812115524810051,0.6819766777252746,0.6869468229035873,0.6985389078982669,0.7122088342982492,0.7278485401539726,0.7480497742932016,0.768853664843344,0.7944189635844494,0.8249046888218247,0.8534009158934742,0.8869892349360032,0.9228887086152221,0.9577420855312866,0.7547300839107516,0.7194246062151777,0.7194246062151777,0.7192731396564028,0.7189392190959525,0.7189000500236982,0.7188915755189934,0.718378548981843,0.7094123639111627,0.6888130705866613,0.6629632922652625,0.6285330880592925,0.5785166497189662,0.5188140130841922,0.4310204903856502,0.32610894983170113,0.23055477801657967,0.10796954114319128,0.04112035449777384,0.0066471877851507115,0.5244055539469911,1847.0,1847.0,1844.0,1835.0,1833.0,1832.0,1828.0,1798.0,1722.0,1623.0,1496.0,1320.0,1129.0,891.0,619.0,398.0,179.0,55.0,4.0,1268.421052631579,640.0,640.0,643.0,652.0,654.0,655.0,659.0,689.0,765.0,864.0,991.0,1167.0,1358.0,1596.0,1868.0,2089.0,2308.0,2432.0,2483.0,1218.578947368421,88.0,88.0,91.0,100.0,102.0,103.0,107.0,137.0,213.0,312.0,439.0,615.0,806.0,1044.0,1316.0,1537.0,1756.0,1880.0,1931.0,666.578947368421,0.5231202251708886,0.7098398289249002,0.5400080418174508,0.65902694008846,0.8470284237726098,0.3684210526315789,0.45263157894736844,0.17894736842105263,0.33189685549172154,0.7412935323383084,0.4925124792013311,0.5393553480939293,1163.4274796079114,1639,848,296,42,35,43,17,61.0,601,0.683853459972863,0.6079613992762364,0.7813953488372093,1512,975,423,1935,2487,135,95
